company_name,symbol,industry
Adani Enterprises Ltd.,ADANIENT.NS,Metals & Mining
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS,Services
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP.NS,Healthcare
Asian Paints Ltd.,ASIANPAINT.NS,Consumer Durables
Axis Bank Ltd.,AXISBANK.NS,Financial Services
Bajaj Auto Ltd.,BAJAJ-AUTO.NS,Automobile and Auto Components
Bajaj Finance Ltd.,BAJFINANCE.NS,Financial Services
Bajaj Finserv Ltd.,BAJAJFINSV.NS,Financial Services
Bharat Electronics Ltd.,BEL.NS,Capital Goods
Bharti Airtel Ltd.,BHARTIARTL.NS,Telecommunication
Cipla Ltd.,CIPLA.NS,Healthcare
Coal India Ltd.,COALINDIA.NS,Oil Gas & Consumable Fuels
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,Healthcare
Eicher Motors Ltd.,EICHERMOT.NS,Automobile and Auto Components
Eternal Ltd.,ETERNAL.NS,Consumer Services
Grasim Industries Ltd.,GRASIM.NS,Construction Materials
HCL Technologies Ltd.,HCLTECH.NS,Information Technology
HDFC Bank Ltd.,HDFCBANK.NS,Financial Services
HDFC Life Insurance Company Ltd.,HDFCLIFE.NS,Financial Services
Hindalco Industries Ltd.,HINDALCO.NS,Metals & Mining
Hindustan Unilever Ltd.,HINDUNILVR.NS,Fast Moving Consumer Goods
ICICI Bank Ltd.,ICICIBANK.NS,Financial Services
ITC Ltd.,ITC.NS,Fast Moving Consumer Goods
Infosys Ltd.,INFY.NS,Information Technology
InterGlobe Aviation Ltd.,INDIGO.NS,Services
JSW Steel Ltd.,JSWSTEEL.NS,Metals & Mining
Jio Financial Services Ltd.,JIOFIN.NS,Financial Services
Kotak Mahindra Bank Ltd.,KOTAKBANK.NS,Financial Services
Larsen & Toubro Ltd.,LT.NS,Construction
Mahindra & Mahindra Ltd.,M&M.NS,Automobile and Auto Components
Maruti Suzuki India Ltd.,MARUTI.NS,Automobile and Auto Components
Max Healthcare Institute Ltd.,MAXHEALTH.NS,Healthcare
NTPC Ltd.,NTPC.NS,Power
Nestle India Ltd.,NESTLEIND.NS,Fast Moving Consumer Goods
Oil & Natural Gas Corporation Ltd.,ONGC.NS,Oil Gas & Consumable Fuels
Power Grid Corporation of India Ltd.,POWERGRID.NS,Power
Reliance Industries Ltd.,RELIANCE.NS,Oil Gas & Consumable Fuels
SBI Life Insurance Company Ltd.,SBILIFE.NS,Financial Services
Shriram Finance Ltd.,SHRIRAMFIN.NS,Financial Services
State Bank of India,SBIN.NS,Financial Services
Sun Pharmaceutical Industries Ltd.,SUNPHARMA.NS,Healthcare
Tata Consultancy Services Ltd.,TCS.NS,Information Technology
Tata Consumer Products Ltd.,TATACONSUM.NS,Fast Moving Consumer Goods
Tata Motors Ltd.,TATAMOTORS.NS,Automobile and Auto Components
Tata Steel Ltd.,TATASTEEL.NS,Metals & Mining
Tech Mahindra Ltd.,TECHM.NS,Information Technology
Titan Company Ltd.,TITAN.NS,Consumer Durables
Trent Ltd.,TRENT.NS,Consumer Services
UltraTech Cement Ltd.,ULTRACEMCO.NS,Construction Materials
Wipro Ltd.,WIPRO.NS,Information Technology
