ticker,company_name,marketCap
NVDA,Nvidia,4450875010559.082
AAPL,Apple,3759435494338.196
MSFT,Microsoft,2982761855342.28
AMZN,Amazon,2133994847674.467
WMT,Walmart,1067485031858.3379
JPM,JPMorgan Chase,823620424424.0591
V,Visa,605558651992.8763
JNJ,Johnson & Johnson,586689888614.7721
HD,Home Depot,389294754057.0102
PG,Procter & Gamble,374040956303.1777
CVX,Chevron,367361241079.29736
CAT,Caterpillar,362696387905.33685
KO,Coca-Cola,338450585316.02686
CSCO,Cisco,303641611137.65814
MRK,Merck,303255868916.0753
GS,Goldman Sachs,274004974552.411
UNH,UnitedHealth Group,265582827209.32007
IBM,IBM,245255827914.41675
MCD,McDonald's,233762530907.6292
AXP,American Express,231732226687.5
VZ,Verizon,206675162921.90552
AMGN,Amgen,198993411315.91797
BA,Boeing,190807935716.8761
DIS,Disney,187003648149.2025
CRM,Salesforce,180613441162.10938
HON,Honeywell,162658669062.57935
NKE,Nike,93456605749.48007
SHW,Sherwin-Williams,91976570591.5835
MMM,3M,90497597857.66602
TRV,"Travelers Companies, Inc.",65627486009.51053
