ticker,company_name,marketCap
NVDA,Nvidia,4450875010559.082
AAPL,Apple Inc.,3759435494338.196
GOOG,Alphabet Inc. (Class C),3701923807098.3887
GOOGL,Alphabet Inc. (Class A),3698294854766.8457
MSFT,Microsoft,2982761855342.28
AMZN,Amazon,2133994847674.467
META,Meta Platforms,1618333748608.6602
TSLA,"Tesla, Inc.",1566415216562.171
AVGO,Broadcom,1541720064885.3953
WMT,Walmart,1067485031858.3379
ASML,ASML Holding,545972394039.38306
MU,Micron Technology,463327146504.99805
COST,Costco,452162012310.7915
AMD,Advanced Micro Devices,338016787912.24567
NFLX,"Netflix, Inc.",326074067585.66785
PLTR,Palantir Technologies,313207377904.98456
CSCO,Cisco,303641611137.65814
LRCX,Lam Research,295832744366.76025
AMAT,Applied Materials,281699686630.20483
TMUS,T-Mobile US,245512204407.0
INTC,Intel,233724407336.86252
PEP,PepsiCo,226896423348.85272
LIN,Linde plc,225545484892.0
TXN,Texas Instruments,205494185756.83688
AMGN,Amgen,198993411315.91797
KLAC,KLA Corporation,192375464477.50415
GILD,Gilead Sciences,192280522671.7848
ISRG,Intuitive Surgical,172536473043.55423
ADI,Analog Devices,165062399424.41144
HON,Honeywell,162658669062.57935
QCOM,Qualcomm,150273942591.98502
SHOP,Shopify,147082918075.3009
PDD,PDD Holdings,142362145476.39313
PANW,Palo Alto Networks,134908040818.30223
BKNG,Booking Holdings,134196377136.62793
ARM,Arm Holdings,133047179427.93503
APP,AppLovin,131988321124.57275
VRTX,Vertex Pharmaceuticals,126008313559.94687
CMCSA,Comcast,115037748442.39165
INTU,Intuit,111192958300.78125
ADBE,Adobe Inc.,110497842510.98633
CRWD,CrowdStrike,108311577454.44824
SBUX,Starbucks,106854948043.0603
CEG,Constellation Energy,104495325120.9082
MELI,Mercado Libre,100799179578.40967
WDC,Western Digital,96271994953.04727
MAR,Marriott International,93775387696.66968
STX,Seagate Technology,92896943681.7102
ADP,Automatic Data Processing,85787623336.69592
REGN,Regeneron Pharmaceuticals,84910974778.28503
SNPS,Synopsys,83623273959.9118
CDNS,Cadence Design Systems,81599853071.59424
ORLY,O'Reilly Automotive,81591104623.92151
MDLZ,Mondelez International,80763538211.17308
MNST,Monster Beverage,79607691959.47534
CTAS,Cintas,77737091173.43982
CSX,CSX Corporation,76000084388.90906
ABNB,Airbnb,72751017888.5143
AEP,American Electric Power,70279541122.08258
WBD,Warner Bros. Discovery,69400831829.61053
DASH,DoorDash,69106300958.09628
PCAR,Paccar,66725800000.0
MRVL,Marvell Technology,66669141517.63916
FTNT,Fortinet,65561719912.71332
ROST,Ross Stores,63919968136.114044
NXPI,NXP Semiconductors,61624368609.307556
BKR,Baker Hughes,60480075165.96462
MPWR,Monolithic Power Systems,57061130802.978516
FAST,Fastenal,53286996960.90176
FER,Ferrovial,51880229985.6029
IDXX,Idexx Laboratories,50350952215.6604
EA,Electronic Arts,50205898680.11804
ADSK,Autodesk,49249860260.009766
EXC,Exelon,48964183599.26451
FANG,Diamondback Energy,48462942177.07864
XEL,Xcel Energy,48263727912.78665
CCEP,Coca-Cola Europacific Partners,44636261686.76872
MSTR,MicroStrategy,44484027003.36182
DDOG,Datadog,43903976704.6378
MCHP,Microchip Technology,42511600259.34851
ALNY,Alnylam Pharmaceuticals,41696715664.13257
ODFL,Old Dominion Freight Line,40606587354.020966
KDP,Keurig Dr Pepper,40336333706.81167
TRI,Thomson Reuters,38666049728.393555
WDAY,"Workday, Inc.",38560139511.1084
PYPL,PayPal,37697418042.98495
GEHC,GE HealthCare,36614934611.774506
CPRT,Copart,36290984597.94554
TTWO,Take-Two Interactive,35862930224.45361
ROP,Roper Technologies,34595747091.890045
AXON,Axon Enterprise,34131812008.222534
PAYX,Paychex,33879346945.066452
CTSH,Cognizant,32120124251.070145
INSM,Insmed Incorporated,31724428513.75
CHTR,Charter Communications,30940485321.20874
KHC,Kraft Heinz,29356868921.674427
ZS,Zscaler,28341223280.427002
DXCM,DexCom,27308938056.181274
VRSK,Verisk Analytics,25317751014.147766
TEAM,Atlassian,22254724239.725266
CSGP,CoStar Group,19067788078.462482
