ticker,company_name,marketCap
NVDA,Nvidia,4450875010559.082
AAPL,Apple Inc.,3759435494338.196
GOOG,Alphabet Inc. (Class C),3701923807098.3887
GOOGL,Alphabet Inc. (Class A),3698294854766.8457
MSFT,Microsoft,2982761855342.28
AMZN,Amazon,2133994847674.467
META,Meta Platforms,1618333748608.6602
TSLA,"Tesla, Inc.",1566415216562.171
AVGO,Broadcom,1541720064885.3953
BRK-B,Berkshire Hathaway,1073381876537.6473
WMT,Walmart,1067485031858.3379
LLY,Lilly (Eli),932315029360.0
JPM,JPMorgan Chase,823620424424.0591
XOM,ExxonMobil,626038222676.9819
V,Visa Inc.,605558651992.8763
JNJ,Johnson & Johnson,586689888614.7721
MU,Micron Technology,463327146504.99805
MA,Mastercard,462603974956.58264
ORCL,Oracle Corporation,460256930985.79407
COST,Costco,452162012310.7915
ABBV,AbbVie,409149542308.0
HD,Home Depot (The),389294754057.0102
BAC,Bank of America,383746135581.13806
PG,Procter & Gamble,374040956303.1777
CVX,Chevron Corporation,367361241079.29736
CAT,Caterpillar Inc.,362696387905.33685
KO,Coca-Cola Company (The),338450585316.02686
AMD,Advanced Micro Devices,338016787912.24567
GE,GE Aerospace,332698859531.3539
NFLX,Netflix,326074067585.66785
PLTR,Palantir Technologies,313207377904.98456
CSCO,Cisco,303641611137.65814
MRK,Merck & Co.,303255868916.0753
LRCX,Lam Research,295832744366.76025
PM,Philip Morris International,291892979307.19366
AMAT,Applied Materials,281699686630.20483
GS,Goldman Sachs,274004974552.411
WFC,Wells Fargo,273037584000.85834
MS,Morgan Stanley,272010279048.42578
RTX,RTX Corporation,268538069183.49048
UNH,UnitedHealth Group,265582827209.32007
TMUS,T-Mobile US,245512204407.0
IBM,IBM,245255827914.41675
MCD,McDonald's,233762530907.6292
INTC,Intel,233724407336.86252
AXP,American Express,231732226687.5
PEP,PepsiCo,226896423348.85272
LIN,Linde plc,225545484892.0
GEV,GE Vernova,217634281904.60693
VZ,Verizon,206675162921.90552
TXN,Texas Instruments,205494185756.83688
T,AT&T,203396309826.4145
AMGN,Amgen,198993411315.91797
C,Citigroup,198358047589.6814
ABT,Abbott Laboratories,196114922228.66595
NEE,NextEra Energy,195348794714.82037
KLAC,KLA Corporation,192375464477.50415
GILD,Gilead Sciences,192280522671.7848
BA,Boeing,190807935716.8761
TMO,Thermo Fisher Scientific,189664945096.148
DIS,Walt Disney Company (The),187003648149.2025
CRM,Salesforce,180613441162.10938
APH,Amphenol,180350416030.1065
ANET,Arista Networks,178302168449.66034
ISRG,Intuitive Surgical,172536473043.55423
TJX,TJX Companies,171904526951.58295
SCHW,Charles Schwab Corporation,170122355011.84387
BLK,BlackRock,166245752017.7356
ADI,Analog Devices,165062399424.41144
DE,Deere & Company,163436207584.73987
HON,Honeywell,162658669062.57935
LOW,Lowe's,161211847444.29236
BX,Blackstone Inc.,159680883501.2519
PFE,Pfizer,156811813850.37494
UNP,Union Pacific Corporation,154685281446.67114
ETN,Eaton Corporation,151535025000.0
LMT,Lockheed Martin,151005577668.23218
QCOM,Qualcomm,150273942591.98502
DHR,Danaher Corporation,150272803294.37256
WELL,Welltower,146767955890.22827
UBER,Uber,145958448678.30508
SYK,Stryker Corporation,140083184812.2574
ACN,Accenture,139053741103.6408
NEM,Newmont,138184978883.00253
COP,ConocoPhillips,137696085086.0413
PANW,Palo Alto Networks,134908040818.30223
BKNG,Booking Holdings,134196377136.62793
APP,AppLovin,131988321124.57275
COF,Capital One,131832074772.052
PLD,Prologis,129084648123.87085
CB,Chubb Limited,127884356436.13763
MDT,Medtronic,127607464293.9166
IBKR,Interactive Brokers,127070330591.75
PH,Parker Hannifin,126437407925.75
VRTX,Vertex Pharmaceuticals,126008313559.94687
SPGI,S&P Global,124008714587.40234
BMY,Bristol Myers Squibb,123695416259.8535
HCA,HCA Healthcare,120820833524.42627
PGR,Progressive Corporation,119895485284.42383
MCK,McKesson Corporation,115373062022.25
CMCSA,Comcast,115037748442.39165
GLW,Corning Inc.,114501760387.28966
NOW,ServiceNow,112984712765.82451
MO,Altria,112890661872.0
INTU,Intuit,111192958300.78125
BSX,Boston Scientific,110826075230.23901
ADBE,Adobe Inc.,110497842510.98633
CME,CME Group,108957433884.03766
CRWD,CrowdStrike,108311577454.44824
SBUX,Starbucks,106854948043.0603
SO,Southern Company,104549901482.5447
CEG,Constellation Energy,104495325120.9082
TT,Trane Technologies,103168503954.98254
UPS,United Parcel Service,101161497012.41284
HWM,Howmet Aerospace,100709527702.33154
NOC,Northrop Grumman,100270838517.50299
CVS,CVS Health,99843128494.96805
DUK,Duke Energy,99696166543.56628
WDC,Western Digital,96271994953.04727
WM,Waste Management,94590309083.35637
KKR,KKR & Co.,94204059214.42902
GD,General Dynamics,93998299779.54749
EQIX,Equinix,93950379844.2002
MAR,Marriott International,93775387696.66968
NKE,"Nike, Inc.",93456605749.48007
STX,Seagate Technology,92896943681.7102
PNC,PNC Financial Services,92717260776.28326
SNDK,Sandisk,92459735173.1684
SHW,Sherwin-Williams,91976570591.5835
MMM,3M,90497597857.66602
FCX,Freeport-McMoRan,90233882956.34563
AMT,American Tower,89951063180.47867
USB,U.S. Bancorp,89707947864.53247
FDX,FedEx,88417230633.95157
WMB,Williams Companies,88326158508.30078
ITW,Illinois Tool Works,87333401779.1748
RCL,Royal Caribbean Group,87161788986.10107
ICE,Intercontinental Exchange,86826794227.78122
ADP,Automatic Data Processing,85787623336.69592
MRSH,Marsh McLennan,85273678226.91144
JCI,Johnson Controls,85224101885.62009
REGN,Regeneron Pharmaceuticals,84910974778.28503
ECL,Ecolab,84852068731.47998
